iter	RMSE
219	12.9580201
220	12.95203714
221	12.94242055
222	12.92152833
223	12.91138164
224	12.90758622
225	12.89725756
226	12.89107782
227	12.88819813
228	12.87921776
229	12.8623287
230	12.84896428
231	12.84073049
232	12.83293579
233	12.82676996
234	12.8241238
235	12.80057458
236	12.79890344
237	12.792484
238	12.79187
239	12.77987142
240	12.77487723
241	12.77010855
242	12.76078146
243	12.75971461
244	12.75040422
245	12.74508832
246	12.73385967
247	12.72758984
248	12.71842477
249	12.71420098
250	12.69607382
251	12.69285654
252	12.68875301
253	12.68531599
254	12.67584833
255	12.64572184
256	12.63309019
257	12.62042966
258	12.61748282
259	12.60586121
260	12.59621194
261	12.59467515
262	12.59103113
263	12.5857979
264	12.57591051
265	12.57200661
266	12.55654032
267	12.54377528
268	12.5422084
269	12.54127116
270	12.53046636
271	12.528073
272	12.51138762
273	12.50630251
274	12.50151064
275	12.49032897
276	12.48397274
277	12.48238266
278	12.46650738
279	12.45469583
280	12.45166147
281	12.44793842
282	12.43595168
283	12.42162212
284	12.40409067
285	12.38742863
286	12.38107881
287	12.37450961
288	12.36279982
289	12.36135205
290	12.35707747
291	12.35514024
292	12.34896297
293	12.33632053
294	12.32780992
295	12.31940924
296	12.3148879
297	12.29974967
298	12.28915664
299	12.28808297
300	12.28399175
301	12.2811986
302	12.27000653
303	12.26209263
304	12.23812954
305	12.22093906
306	12.20930193
307	12.20293553
308	12.19267438
309	12.1855793
310	12.17030435
311	12.16351291
312	12.16148931
313	12.15802319
314	12.14910867
315	12.14270894
316	12.13038589
317	12.12959913
318	12.12316529
319	12.1106057
320	12.10655877
321	12.10221892
322	12.09491367
323	12.08444659
324	12.0828624
325	12.0750404
326	12.06339888
327	12.0586205
328	12.05749492
329	12.04888133
330	12.04476097
331	12.0367533
332	12.024168
333	12.00778173
334	11.99893344
335	11.98501085
336	11.97020428
337	11.96181659
338	11.94794031
339	11.94433308
340	11.93692338
341	11.93315088
342	11.93270301
343	11.91572792
344	11.91429346
345	11.90483846
346	11.8998618
347	11.89698816
348	11.89527579
349	11.89336376
350	11.88464423
351	11.87139932
352	11.86077493
353	11.85260189
354	11.83879865
355	11.82982023
356	11.81798266
357	11.81138735
358	11.79931002
359	11.79489467
360	11.79062405
361	11.78198098
362	11.77005353
363	11.76263181
364	11.75702845
365	11.74945274
366	11.74001215
367	11.73930404
368	11.73778471
369	11.73021114
370	11.72330998
371	11.71720271
372	11.70484614
373	11.69778889
374	11.68457501
375	11.67987706
376	11.6613236
377	11.64665466
378	11.64199703
379	11.63979617
380	11.63899621
381	11.63680431
382	11.62823748
383	11.61705322
384	11.61057213
385	11.59610313
386	11.58480093
387	11.57363654
388	11.56999393
389	11.56894061
390	11.5661827
391	11.56390526
392	11.55305876
393	11.54699527
394	11.54058975
395	11.52909946
396	11.52029133
397	11.51778448
398	11.50607601
399	11.50242805
400	11.49954261
401	11.49218196
402	11.49170105
403	11.48997801
404	11.48651827
405	11.48211404
406	11.4746066
407	11.46147971
408	11.45218725
409	11.45160593
410	11.44725829
411	11.44568464
412	11.44209964
413	11.4384872
414	11.4253237
415	11.42036706
416	11.42023595
417	11.41788888
418	11.41411402
419	11.41367332
420	11.40854339
421	11.40512399
422	11.39762759
423	11.3942674
424	11.39293509
425	11.38255944
426	11.37177023
427	11.36791561
428	11.35399826
429	11.33188297
430	11.32458181
431	11.32221464
432	11.31837519
433	11.31214125
434	11.29728684
435	11.28899521
436	11.26825008
437	11.2549016
438	11.25137593
439	11.24155747
440	11.22457582
441	11.21482269
442	11.20497024
443	11.20383817
444	11.20308022
445	11.18743912
446	11.17681832
447	11.17133684
448	11.16648728
449	11.15981645
450	11.14813872
451	11.14601549
452	11.14084765
453	11.13345525
454	11.12575771
455	11.12558973
456	11.11927111
457	11.11881692
458	11.1158215
459	11.10850473
460	11.09817727
461	11.09665016
462	11.09507302
463	11.09393112
464	11.08803111
465	11.07651464
466	11.06888262
467	11.06860151
468	11.0682038
469	11.05592053
470	11.03978092
471	11.02743666
472	11.02717007
473	11.02412251
474	11.0163015
475	11.00842471
476	10.99967263
477	10.99086891
478	10.98815585
479	10.97920558
480	10.96989223
481	10.9600124
482	10.94877021
483	10.93497444
484	10.92433902
485	10.91241481
486	10.89822226
487	10.89521704
488	10.8902172
489	10.88084055
490	10.87145742
491	10.87126791
492	10.86512182
493	10.86438119
494	10.85629059
495	10.8562215
496	10.85525924
497	10.85407009
498	10.84613063
499	10.83832549
