iter	Passed	Remaining
401	17590	4288
402	17635	4244
403	17678	4200
404	17723	4157
405	17767	4113
406	17810	4069
407	17856	4026
408	17898	3982
409	17940	3938
410	17982	3893
411	18023	3849
412	18064	3805
413	18107	3761
414	18150	3717
415	18193	3673
416	18236	3629
417	18282	3586
418	18325	3542
419	18368	3498
420	18411	3454
421	18457	3411
422	18501	3367
423	18545	3324
424	18590	3280
425	18632	3236
426	18675	3192
427	18715	3148
428	18761	3105
429	18805	3061
430	18847	3017
431	18892	2973
432	18935	2930
433	18981	2886
434	19024	2842
435	19082	2801
436	19132	2758
437	19182	2715
438	19231	2672
439	19281	2629
440	19326	2585
441	19372	2542
442	19415	2498
443	19459	2454
444	19503	2410
445	19546	2366
446	19588	2322
447	19629	2278
448	19671	2234
449	19713	2190
450	19759	2146
451	19800	2102
452	19843	2058
453	19885	2014
454	19926	1970
455	19970	1926
456	20010	1882
457	20054	1839
458	20099	1795
459	20142	1751
460	20185	1707
461	20225	1663
462	20270	1619
463	20314	1576
464	20358	1532
465	20401	1488
466	20442	1444
467	20484	1400
468	20525	1356
469	20567	1312
470	20609	1268
471	20651	1225
472	20695	1181
473	20737	1137
474	20779	1093
475	20821	1049
476	20864	1006
477	20910	962
478	20953	918
479	20995	874
480	21036	830
481	21078	787
482	21120	743
483	21166	699
484	21208	655
485	21254	612
486	21299	568
487	21341	524
488	21393	481
489	21434	437
490	21477	393
491	21519	349
492	21561	306
493	21605	262
494	21645	218
495	21689	174
496	21731	131
497	21775	87
498	21817	43
499	21859	0
