iter	RMSE
0	23.65593949
1	22.72263661
2	21.92525196
3	21.17261548
4	20.53332682
5	19.97340266
6	19.49381141
7	19.04697569
8	18.67678473
9	18.39641991
10	18.12858016
11	17.88393449
12	17.68391379
13	17.52425825
14	17.37726458
15	17.25654316
16	17.1168457
17	17.01454403
18	16.90164999
19	16.76308886
20	16.66243289
21	16.57752617
22	16.4918522
23	16.45456016
24	16.36907813
25	16.28291109
26	16.20606775
27	16.13769991
28	16.08568482
29	16.04205245
30	15.98927334
31	15.9494794
32	15.89567512
33	15.88560506
34	15.85599847
35	15.83209648
36	15.79076064
37	15.75527334
38	15.72348016
39	15.71324571
40	15.66967898
41	15.62152973
42	15.58159774
43	15.55490053
44	15.54994019
45	15.53066119
46	15.47526906
47	15.44802028
48	15.4269468
49	15.39763204
50	15.37078832
51	15.36753464
52	15.34871588
53	15.32346711
54	15.30470185
55	15.2803395
56	15.25031562
57	15.24977916
58	15.22079105
59	15.18689398
60	15.16226689
61	15.15119463
62	15.12188257
63	15.10557654
64	15.09419869
65	15.090345
66	15.05697283
67	15.05045165
68	15.02631273
69	15.01554083
70	14.98911413
71	14.97062152
72	14.94360038
73	14.92396164
74	14.90659117
75	14.87602148
76	14.85743881
77	14.85721657
78	14.82525696
79	14.80239116
80	14.79088638
81	14.75855361
82	14.73024307
83	14.71139533
84	14.69492482
85	14.67645357
86	14.64149469
87	14.62370483
88	14.60017447
89	14.57965253
90	14.56969277
91	14.56047356
92	14.54372499
93	14.52410235
94	14.51623873
95	14.50021921
96	14.47252689
97	14.4528609
98	14.43073581
99	14.40721131
100	14.39912977
101	14.3625566
102	14.34430886
103	14.32269936
104	14.29180478
105	14.27663154
106	14.24449176
107	14.21033142
108	14.19213015
109	14.18041554
110	14.16143297
111	14.15031411
112	14.13908461
113	14.11579978
114	14.10156264
115	14.08328323
116	14.07637394
117	14.05443748
118	14.04790068
119	14.03532933
120	14.0178312
121	14.00235361
122	13.98108313
123	13.97317147
124	13.94709939
125	13.92063507
126	13.91431471
127	13.91016044
128	13.88274447
129	13.87949116
130	13.87024411
131	13.86675782
132	13.86384453
133	13.84930218
134	13.83932595
135	13.83671632
136	13.8198266
137	13.80857061
138	13.80325067
139	13.78612604
140	13.75957983
141	13.73683889
142	13.70860966
143	13.68960573
144	13.67304333
145	13.65576933
146	13.63136976
147	13.61476665
148	13.60277054
149	13.58328357
150	13.55799086
151	13.5539525
152	13.55051416
153	13.52713419
154	13.50562118
155	13.49134751
156	13.47353299
157	13.45553208
158	13.44576226
159	13.44035833
160	13.41781589
161	13.39941367
162	13.37606357
163	13.37177202
164	13.35324177
165	13.34018976
166	13.33078869
167	13.3193732
168	13.2956718
169	13.28597847
170	13.28305577
171	13.2724114
172	13.25858311
173	13.25289386
174	13.23818721
175	13.23066912
176	13.21057487
177	13.19505448
178	13.17208465
179	13.16599512
180	13.15024247
181	13.13907272
182	13.13327744
183	13.1312074
184	13.12029973
185	13.10055582
186	13.09904699
187	13.09416779
188	13.08046908
189	13.06625886
190	13.05455418
191	13.04035415
192	13.03161422
193	13.02491493
194	13.02185456
195	13.01155522
196	13.00222029
197	12.99460032
198	12.97261736
199	12.96966149
200	12.95932618
201	12.95155413
202	12.94859088
203	12.92433001
204	12.91940634
205	12.90757306
206	12.89132597
207	12.88297439
208	12.87966249
209	12.86104506
210	12.85899645
211	12.85177617
212	12.83754111
213	12.81937879
214	12.80222439
215	12.78977757
216	12.78451136
217	12.77339057
218	12.77167279
219	12.75605963
220	12.74074416
221	12.72822732
222	12.70842553
223	12.69795255
224	12.68576583
